Label	Weight	Text
l_General	1	i have not heard
l_General	1	no later
l_General	1	no no cancel
l_General	1	not exactly
l_General	1	all finished
l_General	1	of course
l_General	1	not
l_General	1	no
l_General	1	shut up quiet
l_General	1	not right now
l_General	1	that's fine
l_General	1	never mind cancel
l_General	1	what
l_General	1	never
l_General	1	negative
l_General	1	last step
l_General	1	i am done
l_General	1	no no cancel it
l_General	1	what was that again
l_General	1	submit it
l_General	1	repeat
l_General	1	just cancel it
l_General	1	very good
l_General	1	no cancel it
l_General	1	yeah buddy
l_General	1	thank you very much
l_General	1	no cancel
l_General	1	is there any real human
l_General	1	end
l_General	1	no more no
l_General	1	okay
l_General	1	please return
l_General	1	could you say it again
l_General	1	finish
l_General	1	end it
l_General	1	i don't like it
l_General	1	back to
l_General	1	never mind
l_General	1	go back
l_General	1	oh don't do that
l_General	1	go back please
l_General	1	say that again
l_General	1	nothing never mind
l_General	1	dismiss
l_General	1	be quiet now
l_General	1	get back to last
l_General	1	no leave it
l_General	1	not even close
l_General	1	repeat please
l_General	1	sure does
l_General	1	exit stop
l_General	1	that is right
l_General	1	shut the fuck up
l_General	1	this is good
l_General	1	sorry, don't do it
l_General	1	great
l_General	1	ok for now
l_General	1	sorry
l_General	1	no doubt
l_General	1	yeah
l_General	1	it's finished
l_General	1	get back
l_General	1	no never mind
l_General	1	it's done
l_General	1	not now
l_General	1	oh no
l_General	1	back please
l_General	1	hey stop
l_General	1	cancel that
l_General	1	all set
l_General	1	return
l_General	1	contact support
l_General	1	no cancel cancel
l_General	1	reject it
l_General	1	cancel
l_General	1	i mean stop listening
l_General	1	do it
l_General	1	baby just be quiet
l_General	1	say again
l_General	1	right
l_General	1	just cancel
l_General	1	it finished
l_General	1	not at all
l_General	1	ok
l_General	1	is there any person i can talk to
l_General	1	customer service
l_General	1	canceled
l_General	1	perfect
l_General	1	not that
l_General	1	my god shut up
l_General	1	sounds good thank you
l_General	1	no stop
l_General	1	shut up
l_General	1	sure yes
l_General	1	sounds good to me
l_General	1	can i talk to a person
l_General	1	no way
l_General	1	no no no
l_General	1	sounds good thanks
l_General	1	yeah go ahead
l_General	1	yes
l_General	1	no thank you
l_General	1	oh yeah
l_General	1	it's fine
l_General	1	submit
l_General	1	right yes
l_General	1	cancel app
l_General	1	nowhere just be quiet
l_General	1	that is correct
l_General	1	cancel cancel
l_General	1	sure
l_General	1	oh my god shut up
l_General	1	finished
l_General	1	please do nothing
l_General	1	never mind cancel that
l_General	1	back to last
l_General	1	i want to talk to a human
l_General	1	back
l_General	1	sounds great
l_General	1	no no no no stop talking
l_General	1	fine
l_General	1	i am finished
l_General	1	human service
l_General	1	do nothing
l_General	1	no no thank you
l_General	1	go away
l_General	1	be quiet
l_General	1	just be quiet
l_General	1	done
l_General	1	i'm sure
l_General	1	no be quiet now
l_General	1	never mind stop
l_General	1	stop talking
l_General	1	go for it
l_General	1	nothing much
l_General	1	yeah bro
l_General	1	nerver mind
l_General	1	i need manual customer service
l_General	1	thank you yes
l_General	1	i need support
l_General	1	no no go back to
l_General	1	what did you say
l_General	1	no go back to
l_General	1	confirm
l_General	1	no be quiet
l_General	1	yeah cool
l_General	1	quiet now
l_General	1	exit exit
l_General	1	i reject
l_General	1	forget about it
l_General	1	again
l_General	1	nobody cares stop talking
l_General	1	don't do that anymore
l_General	1	just be
l_General	1	come on stop
l_General	1	contact the customer service
l_General	1	no i don't want that
l_General	1	shut up be quiet
l_General	1	yeah good
l_General	1	reject
l_General	1	sounds perfect
l_General	1	go back on
l_General	1	repeat that
l_General	1	pardon
l_General	1	go back to
l_General	1	i didn't hear repeat again
l_General	1	no shut up
l_profileskill	1	run dialog
l_profileskill	1	test dialog
l_profileskill	1	run sample dialog
l_profileskill	1	test profile
l_profileskill	1	demo dialog
l_profileskill	1	test proifle
l_searchskill	1	hi i need a tutor that teaches java at 3pm, thanks in advance.
l_searchskill	1	does any tutor understand the labs in computer system design because i am stuck, i am free at 1pm.
l_searchskill	1	are there tutors that teach history and are available at 4pm
l_searchskill	1	i need a tutor that specializes in math and is free at 3:30pm.
l_searchskill	1	i need a tutor that specializes in discreet structures at 9pm.
l_searchskill	1	i am free sunday, can i work with a tutor for the economics course
l_searchskill	1	next tuesday i would like to meet with johann hari. is that possible
l_searchskill	1	hi, i need a tutor for physics at 4pm to help me please.
l_searchskill	1	is pete stevens teaching
l_searchskill	1	is kevin smith still helping people
l_searchskill	1	is steve martin teaching math
l_searchskill	1	i really need help in english, does anyone tutor this subject at 9pm
l_searchskill	1	i am having a hard semester in program design, i need a tutor everyday at 3pm.
l_searchskill	1	how much time in advance do i need to request a tutor because i need help friday at 9am to study electronic materials for my final.
l_searchskill	1	i need help with physics2, do you have a tutor that teaches at 11am
l_searchskill	1	i need a tutor asap that can help me understand calc3 at 5pm.
l_searchskill	1	can i get in touch with a tutor at 12pm to study linear systems
l_searchskill	1	is there someone that teaches algorithms around 4 to 5 today
l_searchskill	1	after 8am i need a tutor for 7 hours to study for my final in calculus please.
l_searchskill	1	is there a spanish speaking tutor at 8am that teaches software systems development
l_searchskill	1	the professor that teaches theory in cs sucks, can i get help by a tutor with this course at 9am
l_searchskill	1	at 5pm i would like to meet some to help me with afsdfasdf
l_searchskill	1	i need a tutor at 4pm to help me with chemistry
l_searchskill	1	is anyone at 6 available to help with asdfsdfsad
l_searchskill	1	i am very behind because i had a death in the family can anyone tutor in program design today at 7am
l_searchskill	1	logic design is my worst course, is there a tutor that comprehends this subject well available at 7pm
None	1	logout
None	1	hi
None	1	goodbye
None	1	hello
None	1	logout
None	1	goodbye
None	1	hello
None	1	hi
None	1	i want them all
None	1	i want to all of them
q_Chitchat	1	How do I use the virtual assistant so that I can find study sessions
q_Chitchat	1	Start looking for a tutor\n\n
q_Chitchat	1	How does this thing work
q_Chitchat	1	How do I use this application
q_Chitchat	1	Help me learn how to get a tutor
q_Chitchat	1	How do I find s tutor
q_Chitchat	1	How do I find study sessions with a tutor
q_Chitchat	1	I need help with this service.
q_Chitchat	1	Instructions how to find a tutor
q_Chitchat	1	I would like a tutor please, where do I start
q_Faq	1	I just did laundry
q_Faq	1	so you've really never eaten
q_Faq	1	That was pretty brilliant
q_Faq	1	Can you say that a different way
q_Faq	1	Okay.
q_Faq	1	Bye dude
q_Faq	1	Between the two of us who is smarter, me or you
q_Faq	1	Who supervises you
q_Faq	1	Later bot
q_Faq	1	yes, that's accurate
q_Faq	1	I love to play piano
q_Faq	1	what flavor ice cream do you like
q_Faq	1	I'm clearly the most smart
q_Faq	1	I love to try new restaurants
q_Faq	1	You're so blah
q_Faq	1	Are you a fan of Google Assistant
q_Faq	1	Are you planning to take over the world
q_Faq	1	have you ever eaten beef
q_Faq	1	I love being happy
q_Faq	1	You are actually lame
q_Faq	1	Are you a fan of country music
q_Faq	1	Tell me what you do again
q_Faq	1	Do you know Google Assistant
q_Faq	1	Say something wacky
q_Faq	1	Do you know how to scratch my back
q_Faq	1	What are you supposed to do
q_Faq	1	Are you there to chat with me
q_Faq	1	Are you really there
q_Faq	1	I didn't find you very amusing
q_Faq	1	Stop joking about things
q_Faq	1	That was really not funny
q_Faq	1	I am fat
q_Faq	1	Sleep well
q_Faq	1	What am I supposed to try
q_Faq	1	Why are you so boring
q_Faq	1	Be honest, what do you think of me
q_Faq	1	That's not what I want to hear
q_Faq	1	Why are you so horrible
q_Faq	1	Do you love anyone
q_Faq	1	I'm about to skedaddle now
q_Faq	1	Do you want to dominate humans
q_Faq	1	Could you ever love me
q_Faq	1	Buh bye
q_Faq	1	That was a smart answer
q_Faq	1	How's your week going
q_Faq	1	Do you have a sex
q_Faq	1	Can I please get a hug
q_Faq	1	I'm more beautiful
q_Faq	1	Should I take it
q_Faq	1	Hook me up with a different joke
q_Faq	1	I'm sick
q_Faq	1	Affirmative
